,0,1,2,3
10,0.8655735978524168,0.765133595196584,-0.30190607406038195,-0.4239066622320369
35,-2.5188796623803285,-1.51580361729677,1.6220739596840625,0.5606790777403144
13,-0.16997088679782552,1.73175020921456,3.2137241969666968,-0.13091334693962808
1,3.861895627750372,0.929378417581446,-0.07218162840447297,-0.37408268529777483
37,-2.3111089182517355,-2.0835437361786022,-0.1738626050952508,0.4776700075542881
5,3.568957718819346,-1.1950829969776562,0.261324267302966,0.09915560416266676
24,-0.7121256410117154,1.744938558642868,-0.941227076072859,0.05979721504075847
14,0.23389779969313726,0.8423056004931609,-0.3921632591629632,-0.6056608426416435
16,0.03095411025490196,-0.0024292223563948784,-0.28730187286732617,-0.30126736394132797
36,-2.542225265912777,-1.02373235921224,1.5940453065419988,-0.05677963291961059
33,-2.3578001253166323,-1.0994012200095418,-0.2299199113793796,-0.7572474137655623
9,1.0715549657824837,-0.8768026183430071,-0.011526077629982036,0.21308516755622292
21,-0.5454244599952068,1.765283363855952,-0.9212554627343215,0.0713731582179777
22,-0.5454244599952068,1.765283363855952,-0.9212554627343215,0.0713731582179777
30,-2.3670018810768854,-0.012199611635701716,-0.4907351481303211,-1.5568002432540362
18,-0.1677205187253011,1.3113702817951394,-0.849394385948273,0.7107607007678363
17,-0.2626609517700679,0.30428826552951627,-0.5434245586043074,-0.19859938343735645
6,3.2728903522718804,-0.09898554535823302,0.16402779551611826,-1.297217904962864
28,-2.169564495673921,2.5013259285205365,2.6604570081598005,0.6263090633801232
31,-2.3670018810768854,-0.012199611635701716,-0.4907351481303211,-1.5568002432540362
26,-1.7248410030011718,0.7507566181512101,-0.8963803049712474,1.2321143113329767
2,3.8794048303997095,0.5603249740180486,-0.051160138547923874,0.08901134769716916
3,3.5339393135206727,-0.45697610985086135,0.2192812875898694,-0.8270324618272211
7,3.118045531270809,-1.8331416391923407,0.2291924782851105,0.856388487384673
15,0.0893181190860238,-1.2326073675677203,-0.2172302400121652,1.242379412708485
4,3.5339393135206727,-0.45697610985086135,0.2192812875898694,-0.8270324618272211
34,-2.3519637244335203,-1.2224190345306742,-0.22291274809386338,-0.602882736100581
38,-2.311108918251735,-2.0835437361786022,-0.1738626050952509,0.4776700075542882
0,4.1894428474168,-0.537460100536341,0.04872913121686269,1.4845694871796962
25,-1.7014953994687232,0.25868536006667997,-0.8683516518291827,1.8495730219929016
39,-2.3753093279659683,-0.7303477764461442,-0.250941401235928,-1.2203414467605063
29,-1.7481866065336205,1.24282787623574,-0.9244089581133117,0.6146556006730515
